,artists,track_name,totalstreams,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity,follower
33,THEWEEKND,BLINDINGLIGHTS,585904,201573.0,0,0.512,0.796,1.0,-4.075,1.0,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4.0,98,58464012
34,THEWEEKND,BLINDINGLIGHTS,585904,201573.0,0,0.512,0.796,1.0,-4.075,1.0,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4.0,98,58464012
35,THEWEEKND,BLINDINGLIGHTS,585904,201573.0,0,0.512,0.796,1.0,-4.075,1.0,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4.0,98,58464012
36,THEWEEKND,BLINDINGLIGHTS,585904,201573.0,0,0.512,0.796,1.0,-4.075,1.0,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4.0,98,58464012
37,THEWEEKND,BLINDINGLIGHTS,585904,201573.0,0,0.512,0.796,1.0,-4.075,1.0,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4.0,98,58464012
38,THEWEEKND,BLINDINGLIGHTS,585904,201573.0,0,0.512,0.796,1.0,-4.075,1.0,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4.0,98,58464012
39,THEWEEKND,BLINDINGLIGHTS,585904,201573.0,0,0.512,0.796,1.0,-4.075,1.0,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4.0,98,58464012
40,THEWEEKND,BLINDINGLIGHTS,585904,201573.0,0,0.512,0.796,1.0,-4.075,1.0,0.0645,0.00147,0.000209,0.0938,0.344,171.014,4.0,98,58464012
41,THEWEEKND,THEHILLS,392023505,242280.0,0,0.565,0.551,0.0,-7.007,0.0,0.0687,0.0845,0.0,0.139,0.125,112.98,4.0,98,58464012
42,THEWEEKND,THEHILLS,392023505,242280.0,0,0.565,0.551,0.0,-7.007,0.0,0.0687,0.0845,0.0,0.139,0.125,112.98,4.0,98,58464012
43,THEWEEKND,THEHILLS,392023505,242280.0,0,0.565,0.551,0.0,-7.007,0.0,0.0687,0.0845,0.0,0.139,0.125,112.98,4.0,98,58464012
