,artists,popularity,follower
214,5SecondsofSummer,80,9171272
215,EllaFitzgerald,72,2243257
216,DominicFike,75,1019335
217,SpotemGottem,58,422226
218,HouseOfPain,62,556398
219,ChrisLane,63,898191
220,ShordieShordie,60,185893
221,AlinaBaraz,69,1251194
222,TheBackseatLovers,70,400182
223,LISTENBEE,44,45754
224,NebuKiniza,55,353277
225,JamesNewtonHoward,65,303047
226,BillieEilish,90,76292431
227,WhoHeem,48,29573
228,EmeliSandé,66,2237867
229,EllaHenderson,76,1506137
230,BeachBunny,70,1096656
231,CigarettesAfterSex,83,6214156
232,CamilaCabello,83,29372035
233,MikePosner,72,1328511
234,MaskedWolf,69,648614
235,$uicideboy$,88,5149342
236,Mustard,75,1033451
237,StoneTemplePilots,69,3117891
238,CharlesPerry,25,3667
239,NioGarcia,74,4345356
240,Deorro,68,1215503
241,Rockwell,58,45678
242,BigSean,80,10457102
243,BaileyZimmerman,76,379344
244,Dantès,26,215
245,ChrisBrown,90,18476062
246,ZaraLarsson,78,10370533
247,YingYangTwins,65,983775
248,EastonCorbin,61,911314
249,Nelly,77,2340560
250,Alexdakidd,0,11
251,RapNationMixtapes,0,63
252,Macklemore&RyanLewis,75,2606224
253,MileyCyrus,92,19667256
254,LeeBrice,72,1944645
255,TheVamps,71,5553119
256,MomentsofClarity,54,3157
257,WalkerHayes,68,573590
258,PVRIS,65,624962
259,BTS,93,61200956
260,Loote,63,205012
261,ayokay,57,167022
262,Krewella,59,924163
263,BrendaLee,70,302480
264,LostKings,61,385263
265,NattiNatasha,76,8824897
266,IggyAzalea,71,6264333
267,CalumScott,79,4901103
268,Snakehips,64,348114
269,KaneBrown,76,4634243
270,HughJackman,69,573045
271,TinyMeatGang,52,383231
272,CHVRCHES,66,1336749
273,NinaNesbitt,64,326785
274,TOMORROWXTOGETHER,83,7498128
275,Clairo,77,3730424
276,Tohi,39,50773
277,ArcticMonkeys,89,18448902
278,NoahSchnacky,50,147641
279,Nigo,60,70433
280,CarlosVives,77,5794156
281,MaggieRogers,71,901323
282,Eve,69,1191426
283,LouMonte,42,9005
284,NewJeans,87,2189567
285,KoeWetzel,72,448879
286,Avicii,83,22555761
287,Gunna,86,4971307
288,GloRilla,71,188472
289,RileyGreen,67,510123
290,NickJonas,67,8738935
291,TomPettyandtheHeartbreakers,69,2456106
292,RAYE,84,725320
293,LaLaLandCast,50,11911
294,DierksBentley,71,2966189
295,BillWithers,73,1433955
296,VicenteFernández,78,8445721
297,FosterThePeople,73,3623551
