,artists,popularity,follower
938,Quavo,82,6326401
939,Soleima,42,17653
940,Russ,79,4691015
941,Sueco,67,502163
942,ROSALÍA,87,6729011
943,22Savage,24,50122
944,NiallHoran,77,9181218
945,BruceSpringsteen,78,5351229
946,88rising,70,879264
947,BANNERS,68,560791
948,Ashe,72,1333414
949,Blxst,73,380463
950,Pretenders,66,1328562
951,MorganWallen,89,4916112
952,MatthewWilder,59,37226
953,DannyElfman,65,348662
954,MikeWiLLMade-It,67,1475039
955,Jax,66,426385
956,MaryliMorett,15,298
957,MurdaBeatz,60,129948
958,LilyAllen,69,1954769
959,YungBleu,69,1265927
960,DavidNail,56,375633
961,LukeBryan,77,7982445
962,HVME,67,55970
963,Dreamville,70,491395
964,VICMENSA,62,600094
965,AmyGrant,59,202574
966,DjounaBig-One,13,1391
967,AWOLNATION,64,2102081
968,Jaudy,41,24239
969,NERVO,57,749504
970,JessieWare,64,695498
971,DanielMarcus,22,27
972,ConradSewell,62,108668
973,ShotgunShane,47,77915
974,YungGravy,74,1556048
975,JBalvin,89,36576407
976,NatalieLaRose,53,108080
977,THESCOTTS,60,182917
978,TheAll-AmericanRejects,68,2446280
979,blink-182,79,7409290
980,TeyanaTaylor,65,1624303
981,Måneskin,85,6886722
982,Paramore,82,7533946
983,FatherJohnMisty,64,726229
984,MikePerry,70,1464252
985,KidRock,68,2299268
986,WESTSIDEBOOGIE,62,277466
987,MuscadineBloodline,63,163154
988,FatJoe,69,1500481
989,LilUziVert,89,14541273
990,ShawnHook,47,61698
991,Anderson.Paak,82,2298995
992,HunterHayes,61,1226122
993,GHerbo,74,1722466
994,Sigrid,64,662840
995,VanHalen,74,5233596
996,DuaLipa,90,38673818
997,MarvinGaye,75,4867147
998,SwaeLee,79,1613236
999,LaurenDaigle,71,2296939
1000,YUNGBLUD,73,2042310
1001,MuniLong,66,221472
1002,TheProclaimers,64,284515
1003,TreySongz,72,7081158
1004,TobyKeith,70,1930236
1005,fun.,68,3510885
1006,TateMcRae,83,3388808
1007,ToveStyrke,55,156007
1008,Rixton,64,742621
1009,SuburbanDZ,58,66
1010,Farruko,86,14681117
1011,AstridS,69,1279426
1012,Journey,76,4791113
1013,DjangoReinhardt,55,362634
1014,StrayKids,85,10418224
1015,2Chainz,78,7644798
1016,SouljaBoy,71,1722865
1017,SleepyHallow,79,1258583
1018,ArianaGrande,91,87749638
1019,TheWeeknd,98,58464012
1020,TrevorDaniel,68,738169
1021,Tyga,83,6740576
1022,Slipknot,81,9192516
1023,Prince,73,6581678
1024,SummerWalker,82,4646340
1025,Eminem,94,65941945
1026,MiCLOWRY,40,48591
1027,ThirdEyeBlind,65,1417052
1028,AtlasGenius,50,332964
1029,KellinQuinn,67,62971
1030,NoahCyrus,74,1096516
1031,MichelleWilliams,61,10035
1032,MeganMoroney,65,54636
1033,Cooliecut,57,195785
1034,CalvinHarris,87,23178921
1035,Galantis,76,3320066
1036,GymClassHeroes,71,1429485
1037,IrvingBerlin,38,26945
1038,MisterWives,60,426080
1039,Rema,83,1845670
1040,JoshuaBassett,66,925997
1041,OliviaHolt,51,1086110
1042,TheBeachBoys,74,3982353
1043,TheWombats,67,1032509
1044,BrettEldredge,66,1430920
1045,JoshGroban,63,847595
1046,MaggieLindemann,67,1906110
1047,DropkickMurphys,65,1145291
1048,Comethazine,67,2131333
1049,DLOW,29,28473
1050,EarthaKitt,58,157482
1051,FlippDinero,62,1187612
1052,LeeGreenwood,45,49927
1053,FifthHarmony,71,15326612
1054,GangStarr,65,830847
1055,ThomasGold,52,166117
1056,BillyCurrington,67,2485568
1057,nonamenofamenoface,0,3
1058,Tems,77,977289
1059,AronChupa,62,389156
1060,DaddyYankee,89,31445044
1061,BRONSON,53,45160
1062,TheChicks,68,1335241
1063,Santana,73,2893978
1064,BensonBoone,74,517812
1065,MichaelRay,57,455575
1066,Kiiara,63,888482
1067,Takeoff,77,1390954
1068,21Savage,94,12799555
1069,DeanMartin,74,1439254
1070,YoungGreatness,37,65737
1071,FireboyDML,73,1474121
1072,A$APMob,63,1991943
1073,TechN9ne,71,2618437
1074,DrakeotheRuler,65,291781
1075,Weezer,75,3012405
1076,FettyWap,72,4436329
1077,J.IthePrinceofN.Y,65,845790
1078,BellaPoarch,68,963160
1079,Foals,66,1319257
1080,EricBellinger,66,778668
1081,KylieMinogue,71,1625261
1082,TimMcGraw,73,4274273
1083,LeonBridges,74,1495301
1084,AvaMax,84,5803792
1085,hemlockesprings,57,107105
1086,Blueface,71,5799246
1087,Miguel,84,4467079
1088,PaperRouteEMPIRE,59,36484
1089,Fergie,71,5304067
1090,Bleachers,64,587724
1091,NickyJam,83,18523181
1092,HilaryDuff,59,2225155
1093,RonnyJ,50,381304
1094,Rudimental,70,1352665
1095,YoungNudy,74,1074962
1096,GracePotter,56,99195
1097,RobertDeLong,46,113260
1098,CNCO,72,9511134
1099,NoRome,55,190654
1100,Jamiexx,63,736922
1101,AskingAlexandria,67,1943963
1102,BigShaq,48,327072
1103,Vundabar,69,271673
1104,TheDisneyHolidayChorus,45,5149
1105,DRAM,64,834368
1106,*NSYNC,69,1940420
1107,JoshuaHyslop,60,57754
1108,SteveAngello,59,576889
1109,DemiLovato,81,24216981
1110,NextYoungin,48,38512
1111,PyotrIlyichTchaikovsky,72,1093048
1112,YoungtheGiant,68,1468733
1113,EdwardSharpe&TheMagneticZeros,64,1014703
1114,ParkerMcCollum,70,286715
1115,BrunoMajor,69,1062579
1116,YoungM.A,63,1355221
1117,Gesaffelstein,78,474809
1118,ChrisJanson,61,300380
1119,TheBandCAMINO,64,328692
1120,WillDailey,23,4707
1121,SAYGRACE,59,175674
1122,WyclefJean,73,288502
1123,Ginuwine,68,2367564
1124,OliviaRodrigo,85,23987646
1125,TOKYO’SREVENGE,61,459078
1126,Bas,69,489092
1127,CardiB,83,21095912
1128,Powfu,73,1143977
1129,Amaarae,67,151194
1130,LinkinPark,86,22644084
1131,MajidJordan,69,820342
1132,BlueÖysterCult,65,1370803
1133,ROSÉ,66,3557471
1134,Vedo,66,378888
1135,TrioVegabajeño,40,12737
1136,Delacey,48,41045
1137,Hazers,36,2273
1138,JanelleMonáe,68,1294152
1139,ThePlatters,62,664855
1140,BobbyHelms,66,30140
1141,ThxSoMch,75,134186
1142,PassionPit,60,1234215
1143,ZayHilfigerrr,43,62590
1144,AlabamaShakes,63,1568594
1145,JasonFrench,20,2940
1146,ChuchoFlash,34,9309
1147,TylaYaweh,64,493923
1148,JungKook,79,6073683
1149,Timeflies,55,327299
1150,AURORA,77,2805386
1151,Rvssian,72,2223905
1152,DustinLynch,68,2031222
1153,LaurenJauregui,59,1285066
1154,LilPeep,85,9583651
1155,MartinJensen,69,1333791
1156,NatKingColeTrio,57,150895
1157,VinceGuaraldiTrio,65,127726
1158,Townhall,1,198
1159,BrysonTiller,81,6545391
1160,GucciMane,79,4680736
1161,PeterManos,49,67802
1162,Baxuz,21,14
1163,Thexx,68,3857020
1164,lilShordieScott,53,32786
1165,Celeste,64,395608
1166,WhoIsFancy,42,37031
1167,VinceStaples,70,1702155
1168,JackWhite,60,1293485
1169,BeachWeather,73,299673
1170,LostFrequencies,79,2581368
1171,RyanAdams,60,553369
1172,SupremeCartelFye,43,9760
1173,Kiesza,58,289444
1174,24kGoldn,75,1970078
1175,BrentFaiyaz,83,3324719
1176,DJLukeNasty,49,135212
1177,ChantelJeffries,38,43904
1178,DavidKushner,65,337298
1179,Regard,72,206355
1180,JaggedEdge,64,1937993
1181,LittleBigTown,67,2627021
1182,SadaBaby,60,442397
1183,TalkingHeads,71,2065629
1184,MKTO,68,1017960
1185,Dreamville,70,491395
1186,YungLean,68,781896
1187,ZacBrownBand,74,3436123
1188,IngridMichaelson,62,790416
1189,TheBandPerry,59,1550502
1190,PeterJ.Wilhousky,32,210
1191,JoeyBada$$,76,2906959
1192,Solange,64,1905582
1193,RickJames,62,1084301
1194,Drake,98,71881198
1195,CarlieHanson,54,431826
1196,SilkCity,58,77912
1197,AliGatie,72,2014365
1198,ZAYN,78,21908744
1199,Diplo,80,2530382
1200,Omarion,62,2690777
1201,TomWalker,70,1022841
1202,SanHolo,60,675394
1203,HunchoJack,61,1084553
1204,6ix9ine,74,6774238
1205,ImagineDragons,90,45555229
1206,MaryJ.Blige,73,3434711
1207,SocialHouse,67,142076
1208,TheLumineers,79,5023699
1209,Sugarland,60,1807439
1210,KeithUrban,72,5028456
1211,LilBaby,91,13051721
1212,NewJeans,87,2189567
1213,MelanieMartinez,80,16342468
1214,MohandBadz,0,8
1215,JVKE,83,1600130
1216,TempleOfTheDog,58,1115974
1217,MattMaltese,71,311881
1218,Hozier,80,5396187
1219,TonyBennett,67,781073
1220,ArethaFranklin,72,3072024
1221,Yandel,83,6610279
1222,MyMorningJacket,57,509567
1223,DNCE,71,4404485
1224,Roar,65,470582
1225,DMX,72,4054541
1226,MikeDimes,64,160916
1227,JhayCortez,62,5050948
1228,Migos,79,12948580
1229,YotClub,71,273717
1230,TheFray,71,3841068
1231,BakaNotNice,45,130103
1232,KidInk,70,2945878
1233,Hoogway,63,11162
1234,AmericanAuthors,68,1463299
1235,DeclanMcKenna,67,888238
1236,DarleneLove,63,49667
1237,JonBellion,69,1345270
1238,OneDirection,87,29469176
1239,AlunaGeorge,64,431695
1240,MirandaLambert,74,3457085
1241,Evanescence,74,3705814
1242,ChinaAnneMcClain,60,649183
1243,Madonna,80,6732797
1244,GerryRafferty,62,290430
1245,Cochise,70,486850
1246,LilDurk,85,5127752
1247,CAZZETTE,51,334354
1248,RichGang,54,2139
1249,CélineDion,76,7043661
1250,MissyElliott,72,2146242
1251,NITTI,57,75953
1252,Years&Years,71,1944734
1253,KaliUchis,83,3579985
1254,DeJLoaf,66,1521572
1255,ColeSwindell,70,1997983
1256,MontellFish,75,757873
1257,SamFischer,68,220744
1258,TylerHubbard,68,48217
1259,NoahKahan,78,662096
1260,JessieReyez,78,1256728
1261,JaymesYoung,73,856902
1262,AddisonRae,45,249893
1263,TravieMcCoy,64,354447
1264,WILLOW,75,2273255
1265,KREAM,63,232035
1266,KaashPaige,69,318255
1267,Stromae,75,2856073
1268,ActionBronson,65,747587
1269,M.O.P.,54,303664
1270,KenshiYonezu,76,4585831
1271,Turbo,44,13827
1272,Ayo&Teo,59,891011
1273,DJESCO,49,281918
1274,4*TOWN(FromDisneyandPixar’sTurningRed),59,253602
1275,MatthewKoma,60,101844
1276,ManuelTurizo,86,11467513
1277,VinceGill,65,510783
1278,MCityJR,42,17095
1279,Tankhead,27,4471
1280,NEIKED,67,148775
1281,DorisDay,59,400057
1282,Reik,81,8009394
1283,BlackEyedPeas,83,7231283
1284,Alexander23,65,354483
1285,JuliaMichaels,77,4756213
1286,BrendonUrie,64,102517
1287,ChiefKeef,77,3686926
1288,JessicaDarrow,61,17426
1289,LorenAllred,61,126775
1290,Huddy,53,364719
1291,Sech,84,11493583
1292,Shakira,92,26999672
1293,TheStrumbellas,59,252399
1294,Zendaya,72,3753931
1295,Krisu,42,20479
1296,RenéeEliseGoldsberry,63,28502
1297,BowWowWow,41,99509
1298,TheTemptations,69,2617776
1299,EmpireCast,55,576847
1300,NessaBarrett,72,984567
1301,HaydenJames,63,236081
1302,DaveMatthewsBand,66,1827089
1303,Dawin,52,225014
1304,DavidGuetta,91,25498459
1305,Yeat,84,1786458
1306,ArizonaZervas,69,703312
1307,Nirvana,83,16960954
1308,JordanDavis,75,815681
1309,FaithHill,66,1679879
1310,CarolinaGaitán-LaGaita,63,48169
1311,KidTrunks,51,299218
1312,RealestK,69,250588
1313,SofiaKarlberg,55,247600
1314,RickyMontgomery,71,1431181
1315,SamCooke,69,1447291
1316,KingsofLeon,76,5135377
1317,KyleDixon&MichaelStein,57,104624
1318,KAYTRANADA,71,1136922
1319,SabrinaCarpenter,80,5006801
1320,JasonMraz,74,6943967
1321,MonsieurPeriné,60,546067
1322,JasonAldean,76,5848731
1323,GreenDay,81,13777552
1324,BobbyShmurda,61,1406427
1325,TreyLewis,56,84133
1326,TheRonettes,66,230697
1327,TheSeasideResort,5,36
1328,ChrisJedi,71,2268397
1329,UglyGod,54,2063882
1330,Commodores,66,1640682
1331,St.Lucia,51,236621
1332,LilXan,61,2286902
1333,omgkirby,60,37727
1334,WhyDon'tWe,72,3461065
1335,EllieGoulding,81,11636962
1336,ChrisCornell,62,1938878
1337,Dr.Dre,82,8948119
1338,IsaiahRashad,69,1243099
1339,DaftPunk,83,9188173
1340,JonasBrothers,77,6771914
1341,SamSmith,91,21750026
1342,LANY,76,5314501
1343,OldDominion,71,1313560
1344,BrunoMars,90,46328556
1345,Eazy-E,68,4690194
1346,TLC,70,3429327
1347,TheNakedAndFamous,59,701998
1348,d4vd,83,671472
1349,LadyGaga,89,25118351
1350,CicoP,49,21492
1351,HoodieAllen,64,700909
1352,AlessiaCara,77,11143408
1353,MeghanTrainor,84,12862138
1354,TheWalters,73,453933
1355,OneRepublic,86,15044037
1356,BlocBoyJB,62,1383153
1357,VampireWeekend,67,1836866
1358,PauloLondra,81,20527577
1359,RascalFlatts,70,3424853
1360,Rihanna,91,52623375
1361,LaineyWilson,73,169329
1362,RedOne,62,57437
1363,Carpenters,70,2697691
1364,PardisonFontaine,51,186202
1365,DJMany,16,8163
1366,B.B.King,64,2526354
1367,PushaT,74,2679825
1368,CatfishandtheBottlemen,65,975001
1369,SpiceGirls,70,2980372
1370,MattTerry,45,125911
1371,AnitaKerrSingers,29,3374
1372,BryanAdams,77,2984349
1373,PiaMia,61,1874854
1374,BeaMiller,71,2885073
1375,NexXthursday,34,12330
1376,LunchMoneyLewis,56,89935
1377,StephanieBeatriz,69,39160
1378,grandson,69,1033349
1379,JuiceWRLD,92,27763849
1380,R.City,65,131741
1381,ESTGee,72,358222
1382,PRXZY,43,2850
1383,TravisScott,91,21871186
1384,Kungs,71,887685
1385,KidCudi,83,6312935
1386,G.R.L.,58,385263
1387,KateBush,74,1628833
1388,TomOdell,81,2865667
1389,JohnMellencamp,67,1478383
1390,JhenéAiko,79,6198272
1391,EltonJohn,86,10989999
1392,KevinAbstract,59,693776
1393,Passenger,73,3121442
1394,Mabel,71,1757464
1395,XAmbassadors,75,2802648
1396,Oasis,78,8289866
1397,LosLegendarios,66,79169
1398,CarlyRaeJepsen,75,5186437
1399,Outkast,77,2156846
1400,BankrolHayden,67,509899
1401,Lizzo,81,5404945
1402,MoneybaggYo,79,3466669
1403,FallOutBoy,81,9804060
1404,PoppHunna,47,60238
1405,ArmaniWhite,71,432499
1406,Madden,39,45604
1407,TheBlackKeys,72,3816393
1408,TerrorReid,58,258301
1409,FrankOcean,86,10620253
1410,KimCesarion,41,37788
1411,Ishi,37,6249
1412,Foudeqush,64,27548
1413,Vigiland,61,267896
1414,OmahLay,73,981603
1415,LANCO,55,372081
1416,Shaggy,75,1875985
1417,YFNLucci,59,2305551
1418,MAX,71,797148
1419,PowersPleasant,53,60619
1420,OzzyOsbourne,74,4618052
1421,"ArtistsOfThen,Now&Forever",44,15962
1422,IsabelLaRosa,74,214560
1423,BrothersOsborne,65,1110000
1424,TrippieRedd,86,8407491
1425,Jaden,70,1843328
1426,Wrabel,66,230830
1427,MadisonBeer,74,5625336
1428,DasSoundMachine,43,19747
1429,NicoSegal,51,190248
1430,DJScheme,65,228407
1431,Anitta,82,12658924
1432,MitchellTenpenny,68,375185
1433,SadieJean,64,130563
1434,PhoebeRyan,58,347548
1435,CarrieUnderwood,74,5620903
1436,BadBunny,100,64430223
1437,NatKingCole,74,1984393
1438,BlakeShelton,74,6894408
1439,MusicalYouth,58,65626
1440,Wisin&Yandel,83,6039869
1441,Kansas,68,1340054
1442,TroyAve,48,144144
1443,EarlSweatshirt,71,1942555
1444,CoiLeray,77,462303
1445,B.o.B,75,2059624
1446,KentJones,50,108986
1447,RM,78,12615745
1448,WesWalker,49,16748
1449,GeraMX,78,3955718
1450,FitzandTheTantrums,68,815964
1451,JackHarlow,82,2801280
1452,EricaBanks,54,97638
1453,BhadBhabie,59,3117772
1454,MorganWallen,89,4916112
1455,Redbone,61,208576
1456,LosDelLimit,65,530520
1457,atWendys,13,16644
1458,iLoveMemphis,44,110494
1459,GwenStefani,75,5814364
1460,SteveAoki,77,3723722
1461,HarryBelafonte,59,171888
1462,Trouble,48,114945
1463,ChelseaCutler,72,635328
1464,PopSmoke,85,12032198
1465,StaySolidRocky,61,164478
1466,SeanPaul,81,4230657
1467,YoungThug,86,7941877
1468,MarenMorris,74,716818
1469,Nause,46,194403
1470,RLGrime,63,399603
1471,MykeTowers,88,10513527
1472,Dan+Shay,73,2853634
1473,Kesha,78,7509265
1474,Usher,81,10295667
1475,LeahKate,64,146918
1476,Jacquees,71,2366548
1477,Alok,81,12023754
1478,RedHotChiliPeppers,84,19159442
1479,KillerMike,64,282190
1480,OmarApollo,75,736309
1481,Zedd,77,5889770
1482,Kaskade,69,909778
1483,Echosmith,62,593850
1484,Cults,76,584475
1485,Aventura,79,6861461
1486,Kehlani,78,6581858
1487,JAY-Z,86,7975709
1488,MFDOOM,78,1792781
1489,Plies,65,1722794
1490,JasmineThompson,68,861050
1491,PartyFavor,58,169208
1492,FamousDex,62,2433256
1493,HaileyWhitters,61,45655
1494,TOTO,74,2520413
1495,LittleNell,45,2187
1496,PeachTreeRascals,62,211863
1497,DJJazzyJeff&TheFreshPrince,54,348729
1498,LilEazzyy,60,129759
1499,KrisKrossAmsterdam,65,191551
1500,42Dugg,74,774085
1501,LittleMix,78,11153116
1502,WizKhalifa,84,10904434
1503,AnnenMayKantereit,71,1520831
1504,EmmyMeli,57,154533
1505,Priory,28,18707
1506,SugarRay,61,872259
1507,FreeNationals,64,238407
1508,JustinTimberlake,82,12625563
1509,Ciara,71,6025529
1510,OBOBrien,36,17124
1511,ChristinaPerri,73,3506726
1512,MysterySkulls,53,205029
1513,Labrinth,81,2677602
1514,AndreasWeise,38,7868
1515,KayStarr,55,45839
1516,N.E.R.D,59,784166
1517,T.I.,76,4481237
1518,StanKenton,36,23472
1519,DSmoke,57,423355
1520,ReginaSpektor,64,1325428
1521,Stargate,47,14030
1522,TheRoots,62,1260120
1523,KalinandMyles,41,172913
1524,JonasBlue,76,3734088
1525,Kookei,26,1898
1526,Jerreau,41,31749
1527,LilDred,37,5112
1528,RobinSchulz,83,3028867
1529,Jack&Jack,63,1402843
1530,LilMosey,72,4966640
1531,RexOrangeCounty,79,5046668
1532,BANKS,62,1031040
1533,TameImpala,82,6209465
1534,Jimin,75,3825721
1535,RodStewart,74,4013334
1536,DJSnake,79,8363737
1537,Maddie&Tae,66,1023230
1538,Shallou,62,202810
1539,Jawsh685,64,109394
1540,LauraLes,61,106964
1541,JoniMitchell,57,1265069
1542,RebelWilson,28,3537
1543,P!nk,83,14540495
1544,Soundgarden,69,3862244
1545,FleetwoodMac,82,9386006
1546,Tainy,79,1207167
1547,Donya,33,31150
1548,ÑengoFlow,85,4164954
1549,AJR,77,2791783
1550,Eve,69,1191426
1551,BrantleyGilbert,68,2779563
1552,ZacEfron,70,765537
1553,TheLongestJohns,59,191292
1554,Hearts&Colors,52,137211
1555,Pi’erreBourne,66,795482
1556,NeilDiamond,69,2268840
1557,Dynoro,68,251305
1558,D'Angelo,63,1153610
1559,Florence+TheMachine,77,6204346
1560,DJDrama,67,1369804
1561,ArianaGrande,91,87749638
1562,IU,73,7764636
1563,Sublime,72,2435988
1564,CatieTurner,56,128995
1565,GrupoFrontera,85,347937
1566,Rush,68,2044306
1567,JACKBOYS,67,513306
1568,DojaCat,89,24362303
1569,StraightNoChaser,50,168936
1570,AlanWalker,82,37008282
1571,FLETCHER,71,759541
1572,PaulRosenberg,34,3823
1573,2Pac,82,14555155
1574,OfMonstersandMen,70,3449095
1575,JustinBieber,92,69860429
1576,GeorgeMichael,74,4115788
1577,PSY,68,1604465
1578,Joji,86,8028924
1579,FKAtwigs,67,1115634
1580,SageTheGemini,66,835952
1581,BoBurnham,74,1676959
1582,RuthB.,77,2695879
1583,SukiWaterhouse,66,236698
1584,KingPrincess,62,1665817
1585,WakaFlockaFlame,68,2581129
1586,DuranDuran,70,2520551
1587,Ambjaay,42,41541
1588,Twelve'len,47,12887
1589,JamesBlake,68,1300245
1590,PurityRing,54,581324
1591,mazie,65,93201
1592,TeeGrizzley,70,3226546
1593,Vaults,50,80279
1594,Tinashe,70,2533399
1595,LilWayne,87,13133016
1596,Jenkiss,56,1048
1597,blackbear,80,4836493
1598,Kinneret,62,64133
1599,ODESZA,72,1450600
1600,LeonardCohen,67,3002438
1601,BandaSinaloenseMSdeSergioLizárraga,58,253749
1602,DevinDawson,59,198249
1603,Bazzi,74,5319372
1604,RaeSremmurd,75,7055007
1605,Friyie,34,13059
1606,MoonTaxi,53,178763
1607,SamHunt,72,2272033
1608,EricChurch,73,3652026
1609,ShorelineMafia,69,1064719
1610,VÉRITÉ,53,301934
1611,H.E.R.,78,6021483
